id,N0,Linf,K,q,sigma,nLL,delta
75,56.8894462340051,191.885925032795,0.408052000777497,2.02663071865581e-05,4.36279763163303,77.5845812589667,33.8964164204714
91,36.4527660991918,183.082746561173,0.314895643649139,1.14155368942858e-05,9.19498721631316,78.6768726021971,34.9887077637018
48,17.0898026227482,193.522811679307,0.190000907888746,4.61265094849171e-05,8.68378108657365,78.7996911530355,35.1115263145402
30,19.4701041460942,181.926038553347,0.0988531392686801,1.42150374917378e-05,9.32853868971729,78.8490544836904,35.1608896451951
3,84.5580563384075,186.887506598072,0.362427176351295,2.60405860261245e-06,9.49502332339274,79.5332355510906,35.8450707125953
47,30.2034911725321,164.546129973658,0.378998594610473,1.38461276583211e-05,7.58308552926852,80.3501374369712,36.6619725984759
28,22.5327240021681,158.249478672021,0.139583062621351,3.63543640492484e-05,9.99850895075185,81.8273996314491,38.1392347929538
80,76.2461753022436,171.622205624353,0.0833258728727409,2.43566817713077e-05,10.8641364892055,82.8398582165784,39.1516933780831
18,88.9995255303506,180.818591697262,0.0448953261976584,2.48548534083255e-06,11.1157526816869,83.2690205211716,39.5808556826763
76,26.5117490047162,197.640302884179,0.426517332892123,5.00955592539098e-06,10.3214851130827,83.8620660629021,40.1739012244068
56,73.3313586583401,176.630336559418,0.0508220057569458,3.85176338304694e-05,11.3064022372099,85.0072174846141,41.3190526461188
68,48.0478894200497,180.134568012795,0.296213398338381,2.85263507141689e-05,12.1601146298345,85.9346909174372,42.2465260789419
45,85.3298135030249,144.798140033627,0.293050874016076,1.27463353958224e-05,12.3210111918147,86.4312842026719,42.7431193641766
32,54.1607913810083,195.843575220542,0.144763767116816,3.47198484780944e-05,12.8308404002558,87.0126986041707,43.3245337656754
74,20.0173183477837,174.724862692666,0.341088168170338,3.99718522219878e-05,11.7207308270562,87.2837040202468,43.5955391817515
57,94.4587240893955,160.344645262025,0.267381704057476,1.47935161720058e-05,13.1371618481586,87.5197336500278,43.8315688115325
9,43.6495174965793,209.381702467839,0.282108408806426,4.665089392089e-05,13.8627371396868,89.3049003290696,45.6167354905743
14,90.0056898593156,184.462235629463,0.332321532943131,1.18896912626736e-05,14.1947938451042,89.4589958949982,45.7708310565029
31,45.4721516718854,166.177010347818,0.093817370207206,2.61925481624933e-05,14.2702628346177,89.6141261405157,45.9259613020204
77,50.8101051555068,160.583368244166,0.0283014104027939,6.5987624141334e-07,13.7691123866303,90.2976938952096,46.6095290567144
62,68.6762494257414,184.662256924493,0.110436353276939,1.67314605125068e-05,14.8652202389857,90.59636828252,46.9082034440247
